RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"Russell Westbrook, PG",LAC,67,34.4,0.426,0.835,1.3,7.3,8.6,2.1,0.2,4.4,28.1
2,"Anthony Davis, PF",LAL,68,36.1,0.535,0.805,0,10.2,2.2,1.5,2.9,1.4,24.4
3,"James Harden, SG",PHI,81,36.8,0.44,0.868,2.6,5.7,7,1.9,0.7,4,27.4
4,"DeMarcus Cousins, C",DEN,59,34.1,0.467,0.782,0,12.7,3.6,1.5,1.7,4.3,24.1
5,"LeBron James, SF",LAL,69,36.1,0.488,0.71,1.7,6,7.4,1.6,0.7,3.9,25.3
6,"Stephen Curry, PG",GSW,80,32.7,0.487,0.914,3.6,4.3,7.7,2,0.2,3.1,23.8
7,"Kevin Durant, PF",PHO,27,33.8,0.51,0.854,2.4,6.6,4.1,0.9,0.9,2.7,25.4
8,"Chris Paul, PG",GSW,82,34.8,0.485,0.9,1.7,4.6,10.2,1.9,0.2,2.3,19.1
9,"Blake Griffin, PF",BOS,67,35.2,0.502,0.728,0.1,7.6,5.3,0.9,0.5,2.3,21.9
10,"LaMarcus Aldridge, C",BKN,71,35.4,0.466,0.845,0.5,10.2,1.7,0.7,1,1.7,23.4
